user_id,artigo_id,rating
420,2303.08409,4
59,1908.1087,3
310,1612.01543,5
64,2310.03616,4
244,2006.08666,4
336,2105.14286,5
260,1802.0918,4
41,1707.08524,4
75,2211.13004,4
497,2306.05053,3
290,2110.08796,4
417,1506.05671,5
62,1702.02463,5
212,2401.06332,5
188,1804.00026,2
298,2205.10428,4
262,1311.1626,4
73,2209.03737,5
7,1804.10685,5
129,1808.08822,1
31,1912.04696,4
175,1811.11163,4
488,1509.00998,4
315,2310.20266,5
43,2404.00989,5
165,2310.121,4
408,2002.05873,5
266,2010.04662,1
306,2106.14332,5
52,1909.11152,5
401,2104.04977,3
106,2209.14703,4
366,1606.06343,5
305,1603.07249,2
28,2112.04359,2
373,2111.12727,5
467,1309.2687,4
116,2309.01995,4
308,1408.0147,4
76,1805.08936,2
439,2004.03725,5
120,1109.579,2
360,1601.08059,5
292,1712.0146,5
351,2004.10892,2
472,2310.20494,2
433,2210.00608,5
340,1912.02866,5
305,1602.00739,5
464,1910.00409,5
214,1312.6945,5
424,2005.09585,2
204,1010.4845,4
166,1102.2785,5
152,2203.08339,5
29,2004.04227,5
292,1708.0785,4
434,2307.06949,5
314,1407.647,5
479,2302.1316,4
264,2207.0593,4
222,1304.6023,5
154,2312.13334,5
20,2202.02112,5
41,1105.2899,3
162,2312.15248,5
13,2108.04057,4
352,2012.00822,4
107,2002.0797,5
483,2205.14916,5
390,2208.08019,4
216,1311.5998,4
409,2309.06726,4
216,1704.00395,3
220,2107.04974,5
436,1803.06955,4
426,2209.00308,5
235,2107.08814,4
331,1908.06969,5
244,1012.0253,4
4,2305.08455,5
230,2402.12655,5
344,2004.0653,5
484,2109.04312,4
463,2212.10612,5
425,2311.07463,1
31,1707.01728,4
420,2304.02602,4
326,2109.08844,4
73,2404.01413,5
151,2111.12921,5
198,1808.10387,5
485,2306.01732,5
459,1401.1872,4
300,2111.00629,4
103,2203.14,4
209,2302.08102,5
126,2308.01024,4
253,1605.01236,4
479,1612.02795,4
101,1709.08294,5
149,2302.08055,4
411,1503.06483,4
485,2210.08803,4
128,2107.00873,4
20,2301.03103,1
283,2102.02282,5
106,1705.02861,4
197,2106.04267,4
297,2305.05731,4
5,1510.06437,4
200,2012.13779,5
104,1511.0031,5
286,2203.04662,5
327,1804.05235,4
465,1602.01557,5
246,2309.12025,4
388,2204.1294,5
83,1901.05311,4
125,2101.06938,5
464,1312.0341,5
406,1911.04521,5
419,1905.07619,1
406,2202.03172,5
430,1405.5268,5
143,2004.13829,5
223,2011.12479,3
173,2305.19191,3
431,1811.05548,1
427,1701.0612,4
74,2102.00654,5
177,1906.10068,1
500,1308.5121,5
381,2207.00305,5
117,2004.09454,4
44,2109.10885,3
464,2007.0273,4
80,2204.11677,4
326,2303.17163,5
104,1501.05145,5
475,2301.13335,2
381,2306.15538,4
345,2308.16215,2
260,1404.6664,4
331,2403.10916,4
160,2312.06382,5
154,1507.02321,4
494,2101.01086,5
231,2302.12249,4
177,2302.10343,4
473,2005.07064,5
359,1205.2686,5
367,1305.6228,4
475,1712.07742,2
53,1603.04713,4
425,1012.2171,5
404,2104.04853,4
19,2104.06045,4
159,2402.17736,5
329,1804.04175,5
456,1904.07011,1
143,2212.1189,5
61,2111.02717,5
493,2401.1553,2
455,2303.16856,5
312,1906.03829,4
449,1604.0439,5
229,2404.03099,4
74,2108.05248,5
235,2112.02969,4
463,2005.14223,1
259,2108.0212,4
267,1102.2361,2
369,1711.10394,4
306,1611.05428,4
171,2207.00818,4
495,2303.17181,4
302,2208.12787,4
281,2007.00775,4
246,1201.609,5
13,1907.12014,4
256,2211.02507,5
91,2210.10321,4
301,2103.00499,3
332,1806.05179,4
466,1210.0848,5
208,2211.03022,5
473,2308.09103,5
492,1611.05346,5
484,2205.04326,2
237,1209.658,5
370,2202.11591,5
177,2104.02063,4
59,2403.00221,5
421,2007.07876,4
297,2403.04726,4
63,1807.03165,4
415,2203.13131,4
138,2004.1253,2
115,1111.48,5
310,1804.0676,5
28,2305.18017,4
75,2401.14992,5
450,2109.02993,5
227,1602.07038,5
47,2204.07897,5
170,1701.06624,4
27,2004.12018,1
76,2302.02353,4
57,2202.10862,4
415,1601.07597,2
461,2102.02956,4
8,1812.03592,3
404,2306.09339,3
176,2307.01013,4
187,2105.11694,4
429,1911.01509,1
326,2002.01955,4
113,1707.08767,1
163,2404.13792,5
173,1806.05332,4
119,1609.05561,4
22,1506.02973,2
117,2402.07407,4
496,1303.0084,5
98,2007.01014,4
44,2104.01028,3
74,1807.02282,4
462,2401.08696,5
64,1704.04982,5
358,2007.14236,4
112,2204.03748,5
88,2011.07878,5
45,2305.04711,5
497,2002.02509,5
449,2108.10259,4
366,2212.13915,5
74,1806.02485,2
17,1711.08992,4
36,2107.13469,4
